Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
353,Maximiliano Olivera,uy URU,DF,Fiorentina,27,1992,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.30,Matches,serieA
354,Robin Olsen,se SWE,GK,Cagliari,29,1990,15,15,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
355,Nicholas Opoku,gh GHA,DF,Udinese,21,1997,7,6,481.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Matches,serieA
356,Riccardo Orsolini,it ITA,"FW,MF",Bologna,22,1997,26,24,1980.0,7.0,4.0,0.0,0.0,3.0,0.0,0.32,0.18,0.5,0.32,0.5,6.5,6.5,5.4,0.29,0.25,0.54,0.29,0.54,Matches,serieA
357,David Ospina,co COL,GK,Napoli,30,1988,11,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
358,Daniele Padelli,it ITA,GK,Inter,33,1985,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
359,Marko PajaÄ,hr CRO,DF,Genoa,26,1993,11,8,759.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.7,0.03,0.2,0.23,0.03,0.23,Matches,serieA
360,Rodrigo Palacio,ar ARG,FW,Bologna,37,1982,25,21,1914.0,6.0,3.0,0.0,0.0,3.0,0.0,0.28,0.14,0.42,0.28,0.42,7.0,7.0,4.2,0.33,0.2,0.53,0.33,0.53,Matches,serieA
361,Alberto Paloschi,it ITA,FW,SPAL,29,1990,10,5,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.2,0.39,0.05,0.44,0.39,0.44,Matches,serieA
362,Alberto Paloschi,it ITA,"MF,FW",Cagliari,29,1990,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,serieA
363,Goran Pandev,mk MKD,"FW,MF",Genoa,36,1983,21,11,986.0,6.0,0.0,0.0,0.0,6.0,1.0,0.55,0.0,0.55,0.55,0.55,3.5,3.5,1.3,0.32,0.12,0.43,0.32,0.43,Matches,serieA
364,Lucas PaquetÃ¡,br BRA,"MF,FW",Milan,21,1997,17,9,817.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,1.6,1.6,1.0,0.17,0.1,0.28,0.17,0.28,Matches,serieA
365,Marco Parolo,it ITA,MF,Lazio,34,1985,17,6,694.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.07,0.04,0.11,0.07,0.11,Matches,serieA
366,Mario PaÅ¡aliÄ,hr CRO,MF,Atalanta,24,1995,22,19,1582.0,5.0,3.0,0.0,0.0,4.0,0.0,0.28,0.17,0.46,0.28,0.46,6.7,6.7,1.4,0.38,0.08,0.46,0.38,0.46,Matches,serieA
367,Javier Pastore,ar ARG,MF,Roma,30,1989,9,4,442.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.5,1.5,0.5,0.31,0.1,0.41,0.31,0.41,Matches,serieA
368,Patric,es ESP,DF,Lazio,26,1993,12,10,919.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,serieA
369,Leonardo Pavoletti,it ITA,FW,Cagliari,30,1988,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.22,0.0,0.22,0.22,0.22,Matches,serieA
370,NehuÃ©n Paz,ar ARG,MF,Lecce,26,1993,3,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
